model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.98708,0.99832,0.001,64,28000,12000
rssm,posterior,state,0,1,0.99086,0.99267,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.97744,0.98454,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.64902,0.88498,0.001,128,28000,12000
rssm,prior,state,0,1,0.98297,0.98438,10.0,640,28000,12000
rssm,enc,state,1,1,0.77544,0.86588,1.0,64,27972,11988
rssm,posterior,state,1,1,0.86062,0.89131,10.0,640,27972,11988
rssm,post_deter,state,1,1,0.84517,0.87491,10.0,512,27972,11988
rssm,post_stoch,state,1,1,0.55593,0.77369,1.0,128,27972,11988
rssm,prior,state,1,1,0.85451,0.87745,10.0,640,27972,11988
rssm,imag1,state,1,1,0.98298,0.98416,10.0,640,27972,11988
rssm,enc,state,5,1,0.46588,0.62224,10.0,64,27860,11940
rssm,posterior,state,5,1,0.58694,0.59507,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.57826,0.58379,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.37077,0.53202,10.0,128,27860,11940
rssm,prior,state,5,1,0.58292,0.5836,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.9599,0.96366,10.0,640,27860,11940
rssm,enc,state,20,1,0.14988,0.1863,10.0,64,27440,11760
rssm,posterior,state,20,1,0.18555,0.00378,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.18006,-0.02242,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.1305,0.16538,10.0,128,27440,11760
rssm,prior,state,20,1,0.1832,0.0017,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.86499,0.88917,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.08085,0.04206,0.001,64,28000,12000
rssm,posterior,return_to_go,0,1,0.11694,-0.29219,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.11247,-0.25253,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.10773,0.07575,10.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.11452,-0.28665,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.91349,0.99665,0.001,64,28000,12000
rssm,posterior,regime,0,1,0.99186,0.99557,10.0,640,28000,12000
rssm,post_deter,regime,0,1,0.98823,0.99148,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.87256,0.98215,10.0,128,28000,12000
rssm,prior,regime,0,1,0.98956,0.99178,0.001,640,28000,12000
rssm,enc,in_regime,0,1,0.40886,0.85172,10.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.55792,0.8305,1000.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.54888,0.77167,1000.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.39341,0.65231,1.0,128,28000,12000
rssm,prior,in_regime,0,1,0.56746,0.79394,10.0,640,28000,12000
