model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.90437,0.75293,0.001,64,28000,12000
rssm,posterior,state,0,1,0.91629,0.86907,1000.0,640,28000,12000
rssm,post_deter,state,0,1,0.90466,0.85669,1000.0,512,28000,12000
rssm,post_stoch,state,0,1,0.4943,0.68115,0.001,128,28000,12000
rssm,prior,state,0,1,0.90651,0.84672,1000.0,640,28000,12000
rssm,enc,state,1,1,0.18229,-0.04278,1000.0,64,27972,11988
rssm,posterior,state,1,1,0.16934,-0.42936,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.16849,-0.46293,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.12749,0.06106,10.0,128,27972,11988
rssm,prior,state,1,1,0.16766,-0.42864,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.90647,0.84292,1000.0,640,27972,11988
rssm,enc,state,5,1,0.10603,-0.1223,1000.0,64,27860,11940
rssm,posterior,state,5,1,0.08573,-0.51548,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.0884,-0.48949,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.07613,-0.02638,1000.0,128,27860,11940
rssm,prior,state,5,1,0.08794,-0.47215,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.90362,0.84006,1000.0,640,27860,11940
rssm,enc,state,20,1,0.09695,-0.15008,1000.0,64,27440,11760
rssm,posterior,state,20,1,0.07666,-0.5488,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.07919,-0.47835,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.07155,-0.02459,1000.0,128,27440,11760
rssm,prior,state,20,1,0.07767,-0.52967,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.90042,0.83636,1000.0,640,27440,11760
rssm,enc,return_to_go,0,1,-1.3478,-2.92834,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,-4.15406,-2.91298,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,-3.76485,-3.27453,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,-1.27144,-5.12536,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,-4.11801,-3.05442,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.53992,0.96105,10.0,64,28000,12000
rssm,posterior,regime,0,1,0.55422,0.87509,10.0,640,28000,12000
rssm,post_deter,regime,0,1,0.50555,0.81479,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.06275,0.3361,1000.0,128,28000,12000
rssm,prior,regime,0,1,0.55869,0.84336,10.0,640,28000,12000
rssm,enc,in_regime,0,1,-1.34836,-3.36062,1000.0,64,28000,12000
rssm,posterior,in_regime,0,1,-4.35717,-5.67971,1000.0,640,28000,12000
rssm,post_deter,in_regime,0,1,-3.98548,-5.41222,1000.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,-1.04308,-5.30424,1000.0,128,28000,12000
rssm,prior,in_regime,0,1,-4.37101,-5.36536,1000.0,640,28000,12000
