model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.90754,0.97341,10.0,64,28000,12000
rssm,posterior,state,0,1,0.89997,0.94167,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.63202,0.56986,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.63705,0.70478,10.0,128,28000,12000
rssm,prior,state,0,1,0.64874,0.56293,1000.0,640,28000,12000
rssm,enc,state,1,1,0.31742,0.36832,10.0,64,27972,11988
rssm,posterior,state,1,1,0.34825,0.10632,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.24241,-0.06269,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.23756,0.22733,1000.0,128,27972,11988
rssm,prior,state,1,1,0.25139,-0.0428,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.64876,0.56075,1000.0,640,27972,11988
rssm,enc,state,5,1,0.08701,0.07378,10.0,64,27860,11940
rssm,posterior,state,5,1,0.10176,-0.26046,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.09282,-0.26929,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.02918,-0.02104,1000.0,128,27860,11940
rssm,prior,state,5,1,0.09388,-0.26692,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.53519,0.39969,1000.0,640,27860,11940
rssm,enc,state,20,1,0.0129,-0.05114,1000.0,64,27440,11760
rssm,posterior,state,20,1,-0.00512,-0.46557,1000.0,640,27440,11760
rssm,post_deter,state,20,1,-0.00338,-0.44342,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.00394,-0.073,1000.0,128,27440,11760
rssm,prior,state,20,1,-0.00589,-0.44563,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.47886,0.30074,1000.0,640,27440,11760
rssm,enc,gait_phase,0,1,0.19529,0.3406,10.0,64,28000,12000
rssm,posterior,gait_phase,0,1,0.37879,0.14587,1000.0,640,28000,12000
rssm,post_deter,gait_phase,0,1,0.33495,0.09768,1000.0,512,28000,12000
rssm,post_stoch,gait_phase,0,1,0.11116,0.05676,10.0,128,28000,12000
rssm,prior,gait_phase,0,1,0.33441,0.08146,1000.0,640,28000,12000
rssm,enc,return_to_go,0,1,0.26993,0.34532,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.24556,0.23641,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.20532,0.20024,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.11522,0.16511,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.21736,0.19757,1000.0,640,28000,12000
rssm,enc,time_to_fall,0,1,0.35212,0.58292,10.0,64,27986,12000
rssm,posterior,time_to_fall,0,1,0.38304,0.53288,1000.0,640,27986,12000
rssm,post_deter,time_to_fall,0,1,0.33958,0.483,1000.0,512,27986,12000
rssm,post_stoch,time_to_fall,0,1,0.14263,0.26457,1000.0,128,27986,12000
rssm,prior,time_to_fall,0,1,0.35029,0.46882,1000.0,640,27986,12000
rssm,enc,reward_stand,0,1,0.37562,0.76324,0.001,64,28000,12000
rssm,posterior,reward_stand,0,1,0.58033,0.846,10.0,640,28000,12000
rssm,post_deter,reward_stand,0,1,0.56719,0.82851,10.0,512,28000,12000
rssm,post_stoch,reward_stand,0,1,0.11053,0.20241,10.0,128,28000,12000
rssm,prior,reward_stand,0,1,0.56799,0.8261,10.0,640,28000,12000
rssm,enc,reward_walk,0,1,0.35594,0.60078,10.0,64,28000,12000
rssm,posterior,reward_walk,0,1,0.34786,0.46854,1000.0,640,28000,12000
rssm,post_deter,reward_walk,0,1,0.31535,0.41659,1000.0,512,28000,12000
rssm,post_stoch,reward_walk,0,1,0.11085,0.11583,1000.0,128,28000,12000
rssm,prior,reward_walk,0,1,0.31905,0.40019,1000.0,640,28000,12000
rssm,enc,reward_run,0,1,0.40006,0.76744,1.0,64,28000,12000
rssm,posterior,reward_run,0,1,0.55816,0.8088,1000.0,640,28000,12000
rssm,post_deter,reward_run,0,1,0.54189,0.78644,10.0,512,28000,12000
rssm,post_stoch,reward_run,0,1,0.10842,0.28862,1000.0,128,28000,12000
rssm,prior,reward_run,0,1,0.54412,0.79101,10.0,640,28000,12000
