model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.87486,0.86321,10.0,64,28000,12000
rssm,posterior,state,0,1,0.89524,0.8581,1000.0,640,28000,12000
rssm,post_deter,state,0,1,0.87885,0.8386,1000.0,512,28000,12000
rssm,post_stoch,state,0,1,0.4942,0.79211,10.0,128,28000,12000
rssm,prior,state,0,1,0.88493,0.84595,1000.0,640,28000,12000
rssm,enc,state,1,1,0.64651,0.6872,10.0,64,27972,11988
rssm,posterior,state,1,1,0.72222,0.70006,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.70693,0.67564,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.38825,0.64679,10.0,128,27972,11988
rssm,prior,state,1,1,0.71381,0.6751,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.88506,0.84422,1000.0,640,27972,11988
rssm,enc,state,5,1,0.27051,0.36158,10.0,64,27860,11940
rssm,posterior,state,5,1,0.39051,0.28987,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.38649,0.30208,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.19457,0.30896,10.0,128,27860,11940
rssm,prior,state,5,1,0.39062,0.29066,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.87797,0.83375,1000.0,640,27860,11940
rssm,enc,state,20,1,0.11743,0.04375,1000.0,64,27440,11760
rssm,posterior,state,20,1,0.11669,-0.28037,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.11931,-0.28026,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.07112,0.01413,10.0,128,27440,11760
rssm,prior,state,20,1,0.1167,-0.27783,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.85498,0.80397,1000.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.19042,0.29152,10.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.14535,-0.10144,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.1418,-0.10794,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.04119,-0.17245,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.14194,-0.1304,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.356,0.94286,0.001,64,28000,12000
rssm,posterior,regime,0,1,0.27571,0.68538,10.0,640,28000,12000
rssm,post_deter,regime,0,1,0.26113,0.65381,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.04829,-0.01497,10.0,128,28000,12000
rssm,prior,regime,0,1,0.27207,0.66341,10.0,640,28000,12000
rssm,enc,in_regime,0,1,0.13967,0.36362,1000.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.07273,-0.25829,1000.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.07642,-0.24423,1000.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.01476,-0.22572,1000.0,128,28000,12000
rssm,prior,in_regime,0,1,0.07309,-0.2608,1000.0,640,28000,12000
