model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.97026,0.99329,10.0,64,28000,12000
rssm,posterior,state,0,1,0.99785,0.99442,0.1,640,28000,12000
rssm,post_deter,state,0,1,0.99727,0.99431,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.83016,0.94545,0.1,128,28000,12000
rssm,prior,state,0,1,0.99745,0.9935,10.0,640,28000,12000
rssm,enc,state,1,1,0.61179,0.6065,10.0,64,27972,11988
rssm,posterior,state,1,1,0.62681,0.46251,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.62686,0.50831,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.50688,0.5305,0.001,128,27972,11988
rssm,prior,state,1,1,0.62648,0.49764,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.99795,0.9936,10.0,640,27972,11988
rssm,enc,state,5,1,0.53592,0.51407,10.0,64,27860,11940
rssm,posterior,state,5,1,0.54351,0.35907,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.54373,0.32677,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.44238,0.44505,0.001,128,27860,11940
rssm,prior,state,5,1,0.54365,0.36134,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.99807,0.99381,10.0,640,27860,11940
rssm,enc,state,20,1,0.51562,0.4715,10.0,64,27440,11760
rssm,posterior,state,20,1,0.51886,0.31112,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.52,0.3257,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.42549,0.42416,0.001,128,27440,11760
rssm,prior,state,20,1,0.5188,0.33303,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.99825,0.9937,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,-0.87113,-7.94089,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,-1.29188,-1.65844,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,-1.14931,-1.61502,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,-0.58189,-2.18397,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,-1.21043,-1.84057,1000.0,640,28000,12000
rssm,enc,regime,0,1,-0.06431,0.85808,0.001,64,28000,12000
rssm,posterior,regime,0,1,0.71116,0.90725,0.001,640,28000,12000
rssm,post_deter,regime,0,1,0.696,0.86922,0.001,512,28000,12000
rssm,post_stoch,regime,0,1,0.23226,0.42879,1000.0,128,28000,12000
rssm,prior,regime,0,1,0.72521,0.90745,0.001,640,28000,12000
rssm,enc,in_regime,0,1,-0.10395,-1.05811,1000.0,64,28000,12000
rssm,posterior,in_regime,0,1,-0.23955,-0.49908,1000.0,640,28000,12000
rssm,post_deter,in_regime,0,1,-0.20265,-0.79344,1000.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,-0.11097,-0.88538,1000.0,128,28000,12000
rssm,prior,in_regime,0,1,-0.2209,-0.45808,1000.0,640,28000,12000
