model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.96848,0.99435,0.001,64,28000,12000
rssm,posterior,state,0,1,0.99892,0.99734,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.99844,0.99635,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.87485,0.97112,10.0,128,28000,12000
rssm,prior,state,0,1,0.99856,0.99701,10.0,640,28000,12000
rssm,enc,state,1,1,0.84486,0.86381,0.001,64,27972,11988
rssm,posterior,state,1,1,0.88557,0.86215,10.0,640,27972,11988
rssm,post_deter,state,1,1,0.88506,0.86248,10.0,512,27972,11988
rssm,post_stoch,state,1,1,0.76226,0.84573,10.0,128,27972,11988
rssm,prior,state,1,1,0.88542,0.86718,10.0,640,27972,11988
rssm,imag1,state,1,1,0.99878,0.99716,10.0,640,27972,11988
rssm,enc,state,5,1,0.52039,0.49781,10.0,64,27860,11940
rssm,posterior,state,5,1,0.57159,0.35703,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.57068,0.33541,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.46735,0.48663,10.0,128,27860,11940
rssm,prior,state,5,1,0.57149,0.36956,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.99877,0.99727,10.0,640,27860,11940
rssm,enc,state,20,1,0.27484,0.22048,1000.0,64,27440,11760
rssm,posterior,state,20,1,0.31655,-0.07244,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.31717,-0.07402,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.25745,0.22758,10.0,128,27440,11760
rssm,prior,state,20,1,0.31738,-0.05213,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.99864,0.99698,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.09038,0.05648,1000.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.15748,-0.05978,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.15898,0.0088,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.10298,0.05734,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.15939,0.00281,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.74894,0.98222,10.0,64,28000,12000
rssm,posterior,regime,0,1,0.93016,0.97739,10.0,640,28000,12000
rssm,post_deter,regime,0,1,0.90897,0.94513,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.55312,0.86722,10.0,128,28000,12000
rssm,prior,regime,0,1,0.91524,0.94572,10.0,640,28000,12000
rssm,enc,in_regime,0,1,0.0115,0.21567,1000.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.05829,0.25235,1000.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.05642,0.23187,1000.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.005,-0.01075,1000.0,128,28000,12000
rssm,prior,in_regime,0,1,0.05832,0.25366,1000.0,640,28000,12000
