model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.90263,0.97717,0.001,64,28000,12000
rssm,posterior,state,0,1,0.94061,0.96033,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.81279,0.81212,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.51218,0.65804,10.0,128,28000,12000
rssm,prior,state,0,1,0.83402,0.8227,10.0,640,28000,12000
rssm,enc,state,1,1,0.34096,0.40965,1.0,64,27972,11988
rssm,posterior,state,1,1,0.41966,0.31273,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.3911,0.29245,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.15064,0.16971,10.0,128,27972,11988
rssm,prior,state,1,1,0.40033,0.27755,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.8341,0.82477,10.0,640,27972,11988
rssm,enc,state,5,1,0.11641,0.10217,10.0,64,27860,11940
rssm,posterior,state,5,1,0.14468,-0.09782,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.13812,-0.06635,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.03681,-0.0298,1000.0,128,27860,11940
rssm,prior,state,5,1,0.13901,-0.09369,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.70829,0.66674,1000.0,640,27860,11940
rssm,enc,state,20,1,0.01253,-0.06344,1000.0,64,27440,11760
rssm,posterior,state,20,1,0.00144,-0.29933,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.00401,-0.2638,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.00567,-0.10081,1000.0,128,27440,11760
rssm,prior,state,20,1,0.00269,-0.2826,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.53941,0.45764,1000.0,640,27440,11760
rssm,enc,gait_phase,0,1,0.43933,0.47385,0.001,64,28000,12000
rssm,posterior,gait_phase,0,1,0.54389,0.39851,1000.0,640,28000,12000
rssm,post_deter,gait_phase,0,1,0.53326,0.388,1000.0,512,28000,12000
rssm,post_stoch,gait_phase,0,1,0.07077,-0.00051,1000.0,128,28000,12000
rssm,prior,gait_phase,0,1,0.53425,0.38402,1000.0,640,28000,12000
rssm,enc,return_to_go,0,1,0.14505,-0.0081,10.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.1434,-0.24706,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.14532,-0.16462,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.02169,-0.1718,1000.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.14477,-0.21709,1000.0,640,28000,12000
rssm,enc,time_to_fall,0,1,0.49559,0.6756,10.0,64,28000,12000
rssm,posterior,time_to_fall,0,1,0.5966,0.7726,1000.0,640,28000,12000
rssm,post_deter,time_to_fall,0,1,0.59765,0.7495,1000.0,512,28000,12000
rssm,post_stoch,time_to_fall,0,1,0.06049,0.18666,1000.0,128,28000,12000
rssm,prior,time_to_fall,0,1,0.59553,0.74767,1000.0,640,28000,12000
rssm,enc,reward_stand,0,1,0.66624,0.92033,10.0,64,28000,12000
rssm,posterior,reward_stand,0,1,0.91781,0.97226,10.0,640,28000,12000
rssm,post_deter,reward_stand,0,1,0.91742,0.96872,10.0,512,28000,12000
rssm,post_stoch,reward_stand,0,1,0.09085,0.27492,1000.0,128,28000,12000
rssm,prior,reward_stand,0,1,0.9182,0.9715,10.0,640,28000,12000
rssm,enc,reward_walk,0,1,0.49228,0.72521,0.001,64,28000,12000
rssm,posterior,reward_walk,0,1,0.6264,0.72561,1000.0,640,28000,12000
rssm,post_deter,reward_walk,0,1,0.61195,0.68551,1000.0,512,28000,12000
rssm,post_stoch,reward_walk,0,1,0.07973,0.06254,1000.0,128,28000,12000
rssm,prior,reward_walk,0,1,0.61507,0.68472,1000.0,640,28000,12000
rssm,enc,reward_run,0,1,0.66801,0.91596,10.0,64,28000,12000
rssm,posterior,reward_run,0,1,0.90142,0.96032,10.0,640,28000,12000
rssm,post_deter,reward_run,0,1,0.89995,0.95547,10.0,512,28000,12000
rssm,post_stoch,reward_run,0,1,0.09449,0.26543,1000.0,128,28000,12000
rssm,prior,reward_run,0,1,0.90105,0.96092,10.0,640,28000,12000
