model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.98713,0.99685,0.001,64,28000,12000
rssm,posterior,state,0,1,0.99403,0.9918,1.0,640,28000,12000
rssm,post_deter,state,0,1,0.98447,0.98233,10.0,512,28000,12000
rssm,post_stoch,state,0,1,0.61864,0.83891,0.001,128,28000,12000
rssm,prior,state,0,1,0.98503,0.98036,10.0,640,28000,12000
rssm,enc,state,1,1,0.50505,0.50988,0.001,64,27972,11988
rssm,posterior,state,1,1,0.53437,0.41697,1000.0,640,27972,11988
rssm,post_deter,state,1,1,0.53175,0.40945,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.41511,0.45021,1.0,128,27972,11988
rssm,prior,state,1,1,0.53216,0.43037,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.98506,0.98192,10.0,640,27972,11988
rssm,enc,state,5,1,0.32054,0.33261,10.0,64,27860,11940
rssm,posterior,state,5,1,0.36131,0.20213,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.36127,0.1856,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.27953,0.2966,1.0,128,27860,11940
rssm,prior,state,5,1,0.3615,0.20905,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.97944,0.97535,10.0,640,27860,11940
rssm,enc,state,20,1,0.21813,0.18894,10.0,64,27440,11760
rssm,posterior,state,20,1,0.21898,-0.0018,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.21714,-0.00399,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.1997,0.17735,10.0,128,27440,11760
rssm,prior,state,20,1,0.21735,0.02286,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.96504,0.96112,10.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.90912,0.92869,1.0,64,28000,12000
rssm,posterior,return_to_go,0,1,0.93555,0.92115,1000.0,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.93364,0.91753,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.8936,0.92165,10.0,128,28000,12000
rssm,prior,return_to_go,0,1,0.9348,0.91904,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.96303,0.99593,0.001,64,28000,12000
rssm,posterior,regime,0,1,0.98874,0.99751,1.0,640,28000,12000
rssm,post_deter,regime,0,1,0.98522,0.99399,10.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.91463,0.98571,0.001,128,28000,12000
rssm,prior,regime,0,1,0.9862,0.99529,10.0,640,28000,12000
rssm,enc,in_regime,0,1,0.3762,0.87417,1.0,64,28000,12000
rssm,posterior,in_regime,0,1,0.49573,0.92604,1.0,640,28000,12000
rssm,post_deter,in_regime,0,1,0.47822,0.87356,10.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.35088,0.77578,0.001,128,28000,12000
rssm,prior,in_regime,0,1,0.48831,0.87498,10.0,640,28000,12000
