model,site,target,horizon,receptive_field,r2_ridge,r2_mlp,ridge_lambda,feat_dim,n_train,n_test
rssm,enc,state,0,1,0.79393,0.86542,1.0,64,28000,12000
rssm,posterior,state,0,1,0.78701,0.76795,10.0,640,28000,12000
rssm,post_deter,state,0,1,0.78369,0.73119,1000.0,512,28000,12000
rssm,post_stoch,state,0,1,0.77688,0.78112,0.001,128,28000,12000
rssm,prior,state,0,1,0.78514,0.7355,1000.0,640,28000,12000
rssm,enc,state,1,1,0.63658,0.73092,0.001,64,27972,11988
rssm,posterior,state,1,1,0.65099,0.62857,10.0,640,27972,11988
rssm,post_deter,state,1,1,0.63637,0.58227,1000.0,512,27972,11988
rssm,post_stoch,state,1,1,0.64552,0.65424,0.001,128,27972,11988
rssm,prior,state,1,1,0.64332,0.58137,1000.0,640,27972,11988
rssm,imag1,state,1,1,0.78528,0.72882,1000.0,640,27972,11988
rssm,enc,state,5,1,0.48845,0.54833,0.001,64,27860,11940
rssm,posterior,state,5,1,0.5007,0.39725,1000.0,640,27860,11940
rssm,post_deter,state,5,1,0.4904,0.38099,1000.0,512,27860,11940
rssm,post_stoch,state,5,1,0.4935,0.47646,0.001,128,27860,11940
rssm,prior,state,5,1,0.49277,0.39077,1000.0,640,27860,11940
rssm,imag5,state,5,1,0.7791,0.7285,1000.0,640,27860,11940
rssm,enc,state,20,1,0.25753,0.32432,0.001,64,27440,11760
rssm,posterior,state,20,1,0.27447,0.09607,1000.0,640,27440,11760
rssm,post_deter,state,20,1,0.26841,0.08513,1000.0,512,27440,11760
rssm,post_stoch,state,20,1,0.27003,0.23617,0.001,128,27440,11760
rssm,prior,state,20,1,0.2682,0.08356,1000.0,640,27440,11760
rssm,imag20,state,20,1,0.77684,0.74734,1000.0,640,27440,11760
rssm,enc,return_to_go,0,1,0.40938,0.64574,0.001,64,28000,12000
rssm,posterior,return_to_go,0,1,0.14621,0.14649,0.001,640,28000,12000
rssm,post_deter,return_to_go,0,1,0.02386,-0.23235,1000.0,512,28000,12000
rssm,post_stoch,return_to_go,0,1,0.14161,0.43182,0.001,128,28000,12000
rssm,prior,return_to_go,0,1,0.02409,-0.2477,1000.0,640,28000,12000
rssm,enc,regime,0,1,0.8823,0.97659,10.0,64,28000,12000
rssm,posterior,regime,0,1,0.32413,0.60486,1.0,640,28000,12000
rssm,post_deter,regime,0,1,0.02927,-0.26132,1000.0,512,28000,12000
rssm,post_stoch,regime,0,1,0.27524,0.63384,0.001,128,28000,12000
rssm,prior,regime,0,1,0.0275,-0.263,1000.0,640,28000,12000
rssm,enc,in_regime,0,1,0.37139,0.83054,0.001,64,28000,12000
rssm,posterior,in_regime,0,1,0.12846,0.22713,0.001,640,28000,12000
rssm,post_deter,in_regime,0,1,0.03432,-0.18525,1000.0,512,28000,12000
rssm,post_stoch,in_regime,0,1,0.13236,0.47798,0.001,128,28000,12000
rssm,prior,in_regime,0,1,0.03484,-0.10924,1000.0,640,28000,12000
